sentence,language
FILTER LOS,en
element burned through,en
Too much construction dust,en
Would not sew,en
Not sewing properly,en
Samsung laptop faulty,en
She tears the leaves,en
several bulbs out of order,en
new battery soldered in place,en
spigot needed a new hole,en
Repairable- 10- difficult,en
need for descaling,en
reinstall,en
bloating filter caps,en
lever jammed,en
Not clearing history of websites,en
Faulty batteries no longer charge,en
Does not retract the paper,en
The tablet no longer started,en
"Very low RAM, needs an upgrade",en
Lowered tension screw,en
Hydraulic problem not electrical,en
Contact operating handle,en
Stuck chuck,en
Dirt removed,en
button needs to be reset,en
Grease exuding from mixer head,en
bobbin case defective,en
Not recognised by computer,en
Mechanic kaputt,en
Problem with start button,en
Faulty electronics?,en
now it's working properly,en
Circuit board broken,en
On and off switch defective,en
Only runs for 3 - 4 minutes,en
Blows the house fuse,en
Drawer does not run,en
No repair possible,en
"hardly draws water, descaling ?",en
with knife,en
element is burnt out,en
Dirty and loose parts,en
broken drum clip,en
Motor problem,en
DVD loader no longer opens,en
Drive not working,en
Info about Bios and Linux,en
battery reset,en
Upgrading,en
Resolve red socket onto board,en
stopped,en
Brushes worn - replaced,en
belongs cleaned,en
new cable fitted & tested,en
learning the gsm,en
Foot pedal not working,en
Spare part printed,en
AM/FM radio,en
Drill bit stuck,en
Lamp no function,en
Fixing between two pipes replaced,en
Read head does not work reliably,en
Descaling at home,en
Cord repaired at retractor,en
Tried factory reset to no avail,en
Radiator slipped from its anchors,en
Wire dislodged from switch,en
Connection problem,en
The motor makes noise,en
Lubricated bearings,en
Bose,en
broken drive belt,en
Volume control defective,en
Button pressed in and no function,en
Motor defect,en
No longer heating,en
It no longer functioned reliably,en
Haunting the battery,en
didn't find the problem,en
cleaned contacts,en
Control unit defective,en
short circuit=,en
Motor still does not run,en
"Sealed unit, unfixable by design",en
Won't turn,en
no test equipment available,en
No battery charging possible,en
cassette players stuck,en
Went very difficult to open,en
no longer prints well,en
Still faulty,en
Cover does not close properly,en
CHristmas tree lights,en
Disk loader blocked,en
Loose connections,en
switch error,en
Had to be repositioned,en
Blades dont move anymore,en
Worn out pin on base,en
Corrected the tension,en
To look at shortening cable,en
Severed wires,en
Repair number 42Plug must be new,en
Needs new solar cell,en
Safety screwdriver missing,en
"Belt torn, get spare part",en
Running v slowly,en
"Cable break, plug defective",en
Faulty contacts> Switch repaired,en
Ok after moving,en
Windows worksB354,en
Shortened and fitted new plug,en
tank beyond repair,en
"emits current, slight vibration",en
Large room fan,en
cleaned and complete,en
Only time to check fuse okay,en
Safe mode can not be left,en
No battery in the device,en
Screw replaced,en
Bearings replaced,en
PCB unserviceable,en
Clear the coals,en
Lamps not functioning,en
Total loss,en
Dust removed,en
power reduction,en
Electronic module cast in resin,en
Faulty display,en
Timer defective Timer repaired,en
"does not run, hums loudly",en
Thread is not properly clamped,en
Place coffee by hand,en
Anchor of engine burnt in,en
B356,en
and soldered,en
ebay,en
Refitted element,en
not to be made,en
Cleaned sensors with a brush,en
Cable broken at speaker end,en
"Controls, aerial",en
Fixed and set at zero,en
Read head,en
Broken USB socket,en
nozzle fell apart,en
The charging worked,en
Clutch wheel jammed,en
Cannot turn the device on again,en
power module broken,en
Turns off,en
load?,en
Replace the thermal fuse,en
V = 1 A (lamp marked 2 x 3.2 W),en
burned out?,en
Stops after a minute,en
Unlocked switch,en
Power supply switch failed,en
Tea poured in to it,en
Water flows like garden hose,en
Blown clean,en
Switching system jammed,en
Doesn't start any more,en
goes slower,en
Engine burnt out => part ordered,en
"Test, defective again",en
Burnt on the stove,en
won't run under load,en
Cleaning oxidised contacts,en
Fell out suddenly while vacuuming,en
A rubber valve inside was dirty,en
completely cleaned,en
No apparent source of part,en
This could not be repaired,en
Dirty contacts now working,en
Standard lamp 2,en
Laptop - Won't boot -,en
Good clean and rethreaded,en
No suitable power supply,en
Cassette doesn't play,en
Needs parts (digibox?),en
Cleaned the speed switch,en
Role broken,en
is to be constructed,en
leaks sealed with sealant,en
Fabric worn,en
Does not feed paper properly,en
Displays 'disk error',en
Site blocking apps,en
Wire tightened,en
game boy advanced SP,en
Defragmentation by the client,en
Capacitor had blown,en
Powers up but white screen,en
No more steam - out of time,en
Tightened connector up,en
No battery to test repair,en
Unfixable - Control unit dead,en
rust in the engine,en
hose shortened and re-tightened,en
Water tank defective,en
Self build manufacturing defect,en
lack of suction - advice given,en
Tape not working,en
Mixer dropped and case shifted,en
Batteries OK?,en
Fan wheel defective,en
remote control not working,en
Replacement controllers available,en
Unlocking a blender,en
Goes again,en
Stops working after a few minutes,en
Install hard disk,en
only water runs out,en
the device is working,en
cleaned and descaled,en
Cushion to be replaced,en
Light switch,en
Tank float needs replacing,en
but still giving error,en
Resistance broken: bridged,en
Screen not repairable,en
might need an element,en
Orange is standby mode,en
Switch removed,en
Won't shred paper,en
Dust removal,en
Cause plug,en
Makes a horrible noise and leaks,en
Repairable-10-difficult,en
"Not working, not the fuse",en
Also fixed,en
D printing at Makilab,en
head broke off base,en
faulty CD player,en
Microcontroller problem,en
Showed Eliot how to test fuse,en
heating coil broken,en
Rubber replaced,en
no longer gives water,en
Suction issue,en
Faulty electrical contact,en
Clothing Steamer,en
Cable breakage,en
Manufacturer's fault,en
Would like to change DVD,en
It does not turn on,en
wire soldered and motor sanitised,en
Re-wired lamp holder,en
aad not on,en
Runs too fast; BTA 12,en
plastic element is pin broken off,en
arrived dismantled,en
Fuse change required,en
broken round wire connection,en
Mains plug must be renewed,en
No details provided,en
Cassette part does not work,en
Language defective,en
Battery connection issue,en
Screen stays black,en
reason unknown,en
Hard to access internals,en
Change Bios battery,en
Dishes do not get warm,en
Test print okay,en
It is a problem with the tapes,en
Screen does not turn on,en
Laptop - Hard crashing -,en
New charging cable required,en
jammed disc,en
Screen issue,en
new cord fitted,en
power button does not work,en
Pressure valve seal defective,en
Flashing Lights,en
Part ordered,en
simply goes out during operation,en
Roll-up mechanism,en
Suspect circuit board defective,en
mains switch repaired,en
Replacement too expensive,en
New baatery installed,en
One motor runs continuously,en
Donated for reuse,en
Not really worth fixing,en
Problem with blade assembly,en
Overheating resistor defective,en
Litz wire not solderable,en
Error on electronics,en
Broken wire inside,en
charger replaced,en
Lid not fitting,en
Bulb broken,en
Cleaning,en
Switch missing from the cable,en
Paper jam,en
Short circuit during canning,en
clean connector button,en
Repairer: contacts cleaned,en
Will be presented to another RC,en
"FET, which we removed",en
does not suck well,en
Too old to be repaired,en
Sound only works partially,en
"Not working, and parts missing",en
CD tray sometimes does not open,en
Checked battery,en
stop and on,en
Cut out during operation,en
Appliance no longer heats up,en
Plug c. q. Cord broken,en
DOES NOT LIGHT UP,en
Alarm time cannot be reset,en
Tried a new bulb,en
no signal,en
Advised where to buy one,en
Turns off again after 6 sec,en
blade required,en
Order new part,en
Find out SIM card numbers,en
Bike light - Button failed,en
Insert the cartridge correctly,en
Main switch re-seated and cleaned,en
loading try sensor broken,en
jack plug soldered,en
Termo switch defective,en
Spare part to be sought,en
DVDs no longer rotated,en
Not repairable for us,en
Cover loose,en
"Power comes on, but no images",en
Fast running with dropouts,en
the power cable was faulty,en
vacuum cleaner: cable broken,en
Paper sticks + lots of noise,en
Does not run anymore,en
TV does not turn on,en
CD clamping mechanism jamming,en
"does not work, replace bulb",en
does not make coffee,en
to the wrong PCB pad?,en
needs cleaning and oiling,en
Switch to be changed,en
Timer not working,en
new element required,en
cleaned and tested,en
power supply fixed,en
Charging socket broken,en
didn't have time,en
Check the battery,en
Jack pin replacement,en
leaking,en
bent power supply pins,en
Mount glued,en
Motor was full of dust,en
the appliance is blocked,en
Seal in motor (burnt),en
Not working when heated,en
Musical box mechanism jammed,en
Dog chewed cord,en
Not recognizing SIM,en
Needs superglue at home,en
"Cleaned, advised on parts",en
"screen not working, HDD faulty",en
Loose connector inside it,en
One of the knobs is broken,en
electric bike has slipping gears,en
dirty micro switch,en
LED defective,en
Feedback given,en
Element broken - unrepairable,en
Plug re-wired,en
feed tray repaired,en
Changer l’allimentation,en
string re soldered,en
defective lamps,en
Needed PAT testing only,en
not safe to fix,en
Bracket defective,en
Adjusted to full speed,en
Electronics issue,en
Internal mechanism broken,en
no longer printing,en
Docket147,en
It worked for us,en
a Cable break at plug,en
doesn't turn on,en
Cable fixing loose,en
Sticker was left on battery,en
Only works in mains operation,en
Motorised head failing,en
the appliance no longer heats,en
Volume not working,en
On/off hard make radio work,en
Power choke cut off,en
Strikes out continuously,en
error code during printing,en
screen not working,en
The pump no longer works,en
Power supply jammed,en
Magnet does not work,en
error reading on loading games,en
umjam and lubricant,en
Backlight disconnected,en
No longer turning on,en
Three detached cables attached,en
CDs are not/ only partially read,en
MH battery won't hold charge,en
Switches off after 20 seconds,en
wire needed soldering,en
Controller unit defective,en
Cord completely unwound,en
Little suction power,en
Operating lever broken off,en
Handle needs welding,en
Be careful!,en
replaced battery pack,en
Copy process aborts,en
And fixed loose power connection,en
Fault with electricity,en
Machine does not run,en
made more space in the cable,en
Repairability-1- easy,en
Everything lights up except waves,en
Cannot start machine,en
CD doesn't turn,en
Batteries to be replaced,en
Water running,en
Pump damaged and needs replacing,en
short circuit + fumes,en
Lud no longer,en
"Thread tension, oil, dirt",en
too much defective,en
Odd error message of '???,en
slider no longer works,en
Install Windows 7,en
Also water found inside casing,en
Circuit board - expert needed,en
Device can no longer be charged,en
def Cleaning necessary,en
coil broken,en
replace thermal fuse,en
Thermostat: burnt-in connections,en
Dirty?,en
It doesn't power up,en
Bread wouldn't stay down,en
grinding wheel: thread piece,en
Pin of switch broken off,en
MS windows not starting,en
Temperature controller defective,en
Needs clean and service,en
batteries where inserted wrongly,en
no longer starts,en
cleaned armature & reassembled,en
won't remain down,en
"stopped, no longer went on",en
Paper jam: motor voltage error,en
Guest wants to consider a variant,en
Set up One Drive,en
coil reel replaced,en
smashed screen,en
Replace power supply,en
Switch missing,en
dirty motor brushes,en
Arm defective,en
Buttons get confused,en
Corroded,en
gstopped during vacuuming,en
Plastic part broken,en
Radio contact lost,en
Always goes out,en
Tape deck does not play,en
output filter clogged,en
and keeps going on and off,en
Hoover won't start,en
Remedy: New seal installed,en
Spare parts supply,en
Mixer not turning on,en
Power connection no longer works,en
Changing keys,en
It no longer played CDs,en
no longer heats the water,en
probably too loud,en
Plastic of handle split,en
does nothing anymore,en
Plastic holder broken,en
Blocked,en
"No repair, needs parts",en
Scroll wheel is defective,en
cord defective on reel,en
electrical cable - split,en
Broken sensor,en
goes on and off automatically,en
Battery is therefore end of life,en
Will not suck,en
The cable stopped winding,en
technically not possible,en
"Test was not carried out,",en
Change battery,en
Wires plug exposed,en
Owner will buy & return,en
DC resistance,en
Problem: batteries not charging,en
The Mixer is burnt out,en
Plastic motor mount broken,en
The heating element is dead,en
Presser foot loose,en
No longer functioned reliably,en
Used motor: to be ordered,en
Problem with sound,en
It was the sound very quiet,en
AC supply for transformer faulty,en
Coil defective,en
Does not suck well anymore,en
Solution: upgrade to Windows 10,en
Checked control board in top unit,en
needs specialist,en
Used to set the vibrator,en
No longer brings a signal,en
CD player direct,en
Cog needs gluing back in,en
no longer transforms the current,en
head is fixed,en
Cleaned up ready for donation,en
Hot plate does not heat up,en
Batteries have run down,en
Device will not turn on,en
DVD feeder tray made ready,en
Stage control defective,en
External flash - Not firing -,en
Lights up but does not heat,en
"flashes, does not run",en
Acc,en
Heating plate failed,en
Charging port,en
From factory,en
device closure with lost spring,en
part to order and come to install,en
"Price request, see owner",en
Refitted strain relief on plug,en
broken parts,en
Dust in the connection,en
needs new belt,en
Switch moves with difficulty,en
broken wire inside device,en
Engine does not work,en
dab module burnt out,en
Resort,en
Plotter cutter,en
Test page printing OK,en
Hoover malfunctioning,en
Replacing a fuse,en
starts badly,en
maintain and oil,en
Clip/switch needed adjustment,en
Soldered in new switch,en
High sound,en
Printed card broken,en
Unable to open it,en
Cable cut and repaired,en
Lens probably jammed,en
Does not drive off,en
wrong part,en
MIP 2K5 needed,en
Radio reception unsatisfactory,en
Resequensed chimes,en
Cd player in this not working,en
Cable break at connector,en
No input 220V,en
Switch replaced,en
two new thermo-fuses,en
It could even be played again,en
Safety switch fixed,en
Self-clean setting found,en
Install Windows XP,en
advice clean filter and bag,en
hard disk to be changed,en
won't work,en
Docket 157. unit does not cool,en
Lfz.6: No transmission reception,en
Leaking,en
Always sinks,en
"After a fall, it no longer worked",en
Blades have come off,en
Switch broken - Switch jumps back,en
Motor keeps hunting,en
needs new board,en
Solution: vinegar,en
"Radio broken, cause not found",en
Won't power on and OS corrupted,en
Arrival from Lauchhammer/Lausitz,en
cannot put back dust grille,en
Rattles,en
needs resoldering,en
Glued the handle back together,en
crack,en
Needs new CPU,en
no longer closes -,en
Various rechargeble batteries,en
Lose connection,en
On/Off switch not working,en
Factory reset,en
Readjust the bobbin thread,en
Portable cassette recorder,en
Plastic gear worn on one side,en
Makes a lot of noise when mixing,en
CD player +Radio,en
wires already corroded,en
fan won't ossilate,en
Couldn't dismantle unit,en
All the way up,en
Tony taking it home to work on it,en
Possibly not working,en
Smoke development,en
grinder motor/fuse,en
put new plug on,en
C028,en
games console,en
Touch switch out,en
dismantled & diagnosed,en
Change component on site,en
Cassette deck is very loud,en
Electric lock defective,en
Defect is not repairable,en
Dosenty stay down,en
Lamp was connected incorrectly,en
Throwing cord torn,en
hand needs tightening,en
Detached jug,en
Clean out and re-grease,en
Probable break in cable,en
Part need replacing,en
Are ordered,en
Bluetooth pairing,en
Burnt out resistor,en
"Cable on the feeder, cable break",en
get one nozzle of two working,en
Needs further work,en
Broken frame - advice given,en
Read head appears to be faulty,en
possible water damage,en
not testable was not charged,en
Replacement belt needed,en
the appliance lights up at random,en
Ferrite antenna broken,en
defective fuse replaced,en
DVD recorder - Doesn't record -,en
Knob doesn't stay down,en
PAT - passed,en
wires broken,en
engine loose,en
need advice on use,en
Lid does not close easily,en
bulb replacement,en
handle redone with wire,en
broken strap,en
Power brick is dead,en
closure in the element,en
toaster,en
probably defective transformer,en
New switch needed,en
Dosent Sing,en
Loose contact at the input switch,en
short in pad,en
Ignition switch,en
Pannel defective,en
Continuity test to switch,en
Switch assembled,en
changes time,en
"The mixer finally worked again,",en
corrosion,en
hums and does not sound right,en
"Grinder disassembled, reassembled",en
switch button broken off,en
Light flashes continuously,en
Not powering up,en
Low quality mini guitar amp,en
Casette deck broken,en
h and then we'll see,en
Lawn Mower - Blade not turning,en
batteries need to be replaced,en
Repairs in progress,en
Contact difficulties,en
Insert spring into brewing unit,en
dust and melted parts inside,en
Used other hoover for parts,en
soldered buttons back on pcb,en
Fuse box - advice re test/trip,en
"loud noise, cable off",en
cable repair,en
Triac control does not work,en
Unknown fault,en
fire hazard,en
plug broken,en
Vacuum cleaner hose ripped,en
propeller blocked,en
Failed electrical test - unsafe,en
"skipping, not working",en
T. Order transformer,en
Trigger broken,en
Blown fuse and capacitor,en
no longer makes coffee,en
Screw grate is too short,en
Stuck tray,en
Coffee does not grind,en
It suddenly went crazy,en
Taken home for more testing,en
Antenna connector needs fixing,en
Connection loose,en
switch bridged,en
Cable connected properly,en
water leak,en
Repair number 40dSpeed too low,en
Doesn't have power,en
The tone arm no longer moves,en
Heating element unusable,en
Switch broken?,en
Chain problem,en
put a new plug on it,en
Customer sells device on Ebay,en
Cleaned bearings,en
Broken wire to be replaced,en
Possibly the fuse,en
Coffee had run over it,en
Portable speaker,en
Glued it back on,en
Blocked?,en
Clamps re-soldered,en
"gears stripped, not repairable",en
Faulty triac,en
unlocked,en
switch replacement,en
One part to be replaced,en
No voltage on the motor,en
A wire has broken in the device,en
Anchor broken --> total loss,en
Visitor did not turn up on 03/08,en
Cause: drive belt was broken,en
No playback of CDs,en
funny sounds when switching on,en
ball bearings of motor defective,en
carbon brushes renewed,en
fixed the controller,en
Solution: straightened louvres,en
only goes now and then,en
Mouse button defective,en
Screw missing so comes apart,en
won't boot -- bad hard drive,en
Advised to seek professional help,en
blockage fixed,en
Keeps cutting out,en
vibration damage,en
Device does not work,en
Laptop - DVD driver corrupted -,en
no longer gets hot,en
Loose connection?,en
"V-belt worn out, various defects",en
"has not heated, still does not go",en
need to try a spare IDE HDD,en
Leaks / gasket replaced,en
B226,en
Connections defective,en
We'll take another look next time,en
Steam cannot be produced,en
Screw on lamp base broken,en
Professional help needed,en
switch faulty and replaced,en
Hair driers total,en
y Key jammed,en
contact problems?,en
soldering floor,en
Dirty volume control,en
Diagnosis: Windows not activated,en
drawer release,en
needs a new movement,en
Repair deferred,en
Cable break - Plug replacement,en
pots cleaned,en
new dust bag,en
The wheels are locked,en
Software (cleanup),en
Broken wire,en
Fixing broken,en
cleaned battery contacts,en
camera lens not foucssing,en
Mobile - Screen issue - Sugrued,en
the power cord was cut,en
"Triac broken, won't turn on again",en
Lights up without sound,en
Sparking and noise,en
Broken charging port,en
no longer worked,en
Engine malfunctioned,en
no phone line to test,en
Cable break at the plug rectified,en
Replaced the socket,en
Repair is possible,en
device misused (en for batteries),en
Visitor had no CD with her,en
We checked the batteries,en
Cable charred,en
Security enabled,en
Noise in the loudspeaker,en
Cause: Thermal sensor,en
CD player working intermittently,en
Lead come apart from straighners,en
drive belt disintegrated,en
"tried it, just works",en
Power lead problems,en
Fi - CD player: works (cable),en
Cable sheath open,en
Contactor plates broken,en
Knife stops under load,en
no cell phone reception),en
"Otherwise, it worked flawlessly",en
Will not start,en
"Condensers measured, were ok",en
New battery,en
"dropped, as if screwed together",en
Out of order: button problem?,en
Loss of contact not found,en
Fuse blows when switching on,en
No lights when switched on,en
Digitizer defective,en
A part is broken (dental wheel),en
Reading head cleaning,en
Advice- Seek part & bring back,en
Leaves come out crooked,en
No more snagging,en
Lid broken,en
Requires professional repair,en
lost suction,en
Does not work,en
Clock set,en
No obvious faults found,en
Circuit board u/s,en
Radio not sure if working,en
Resistor broken following a fall,en
Digital calipers,en
One audio channel not working,en
Advised installation of ssd drive,en
Pump problem to be changed,en
Unclear result,en
plug rewired,en
Doesn't always come on,en
Cleaned Battery contact,en
Not getting hot,en
Cable singed,en
No issue when tested,en
CD stuck in player,en
Drive shaft defective?,en
Microwave tube defective,en
Broken switches and cleaned plugs,en
Totally dead,en
Taken home to complete,en
Belt brittle due to age,en
"Heads cleaned, works",en
No suction in pipe,en
Stitch direction not adjustable,en
Windows 10 reinstallation,en
how to set up,en
Cord came off,en
Loose belt; buy a new part,en
Laptop - No power -,en
loose hose connected,en
Cable defect,en
Touch panel did not work,en
Device too old,en
Mini hi-fi stuck on standby,en
Seized,en
Cables checked and repaired,en
working fine,en
Machine blocked despite oiling,en
Crumbs,en
It no longer ran in battery mode,en
A fuse replaced,en
Arm problem,en
Removed the jammed pods,en
guidance given,en
clean and disassemble,en
Does not suck properly anymore,en
dvd player - doesn't record,en
Will come back again,en
Entire set usable again,en
He smokes,en
voltage regulator needed,en
Cleaned terminals etc,en
Owner has taken home to test,en
Repair number 74Antenna broken,en
Retrieve password,en
Screen damage after drop,en
The hoover needed a motor,en
led do snot shine,en
chips turned on again,en
update wifi drivers all ok,en
Are worried from visitor,en
cable fixing broken (re-welded),en
nothing,en
Radio CD: false contact,en
Left side does not work,en
battery checked - ok,en
Jams,en
false contact repaired,en
Car does not drive anymore,en
wire needs to be soldered,en
"Filter was loose, screw lost",en
Needs new thin flex for speaker,en
will not turn on,en
s does not suck water,en
Turntable no longer turns,en
Install memory,en
NO LONGER CHARGING,en
Couldn't be opened,en
cable break on the housing,en
Replaced CR2032 battery,en
"turns on, but does not boot up",en
"The hoover smokes, it's burnt",en
No Sound being produced,en
spare parts procured,en
adjustments made,en
No longer lights up; soldering,en
System error,en
Motor fail,en
thermal fuse defective,en
Locking device defective,en
Spare part procured,en
BAD CONTACT,en
CD stuck inside,en
All working OK,en
New firmware installed,en
Cause of noise not found,en
Needed batteries,en
motor off its mounts,en
Plastic bottom broken,en
when warm - starts humming,en
Funk does not turn himself in,en
Low quality build,en
Cells are discharged,en
is no longer working,en
Needs appropriate batteries,en
safety contact jammed,en
Sucks only at weakest level,en
"Needs to dry out and try again,",en
Pressed reset button,en
Capacitor burnt,en
basic overhaul,en
Memory replaced,en
Temperature fuse defective,en
tested + set properly,en
needs a new palmrest,en
Cable breakage at retractor,en
won't pump water,en
"Gave more pressure, runs again!",en
Repaired but unable to test,en
HDMI Freeview box,en
then nothing happens,en
Roller pin jammed with hair,en
cord break repaired,en
water leak in operation,en
Customer orders part,en
Not working / not turning on,en
Took apart and reassembled,en
Pointer loose,en
Defective seal: replace,en
Motor bit lubricated,en
Damaged/freyed cord,en
Display hinge sluggish,en
blocked during kneading,en
Needs more time - next time,en
New Resistor needed,en
repair cut wire & test,en
worked in test run,en
"in progress, time was not enough",en
"Maybe broken wire, loose contacts",en
Replaced battery pack,en
Missing a screw,en
Changing the fuse,en
Overheating resistor pressed in,en
Cord does not coil,en
Lamp switch out of order,en
Cleaning the thermostat,en
Capacitor broken,en
cord does not go in,en
Internal fuse corroded,en
Found PSU not working,en
Lamp loosing contact point,en
Not switching off,en
Uneconomical to repair,en
Connected by,en
Broken connector,en
"Faulty light, was staying on",en
Pipe unblocked!,en
Opened up and cleaned,en
Tried to get one,en
Does not switch on,en
Blown fuse replaced,en
Keeps running now,en
Too full of limescale to repair,en
Motor has no power,en
Machine smokes,en
Adjusted needle,en
Slow cooker doesn't work,en
Some controls don't work,en
Charges but wont output on USB A,en
cable shortened and reconnected,en
replace battery,en
Tablet and smartphone advice,en
Wheel reassembled,en
falters,en
We need to change the display,en
Probably switch broken,en
Electric Wok,en
"Cable no longer comes out, jammed",en
Loose connection internally,en
Burnt out coil,en
Fine mechanism is broken,en
change the cable,en
sucks bad,en
Shortened and reattached cord,en
Startup error,en
Resoldered broken wire,en
"Glued, assembly after curing",en
Dropouts during operation,en
electrical light doesn't work,en
Loose contact in cable,en
Blender: security blocked,en
The unit stopped playing CDs,en
Unit leaking,en
"Fuse defective, accurate",en
efect rotary switch,en
Could not get it working,en
Cable not insulated,en
Had fixed but hadn't lasted long,en
Laptop - Screen issue - Reballing,en
Schuko coupling newly fixed,en
Mouse tests: faulty,en
power block,en
F) Thermostat replaced,en
Auxiliary voltage missing,en
Stopped suddenly ws,en
no longer oscillates,en
Timer is sticking,en
Does not run reliably (gearbox),en
No longer turns on,en
Worked after drying out,en
no longer does the job,en
Repair of part in poor condition,en
cord shorted,en
Solder cable not yet finished,en
steam hose too tightly wound,en
Blades broken on fan,en
bearing,en
Nozzle blocked,en
"Fan runs, but PC does not start",en
Heats but does not froth,en
Wireless headphone receiver,en
USB key blocked,en
No longer holds,en
advised for self repair,en
Broken Lid Broken lid,en
Exchanged and ok,en
spring mechanism defective,en
wire repair,en
Faulty timer card,en
Abrasion but not broken,en
Replacement of the fan,en
Fuse flies,en
Printer inkheads dried out,en
To return once part ordered,en
Toothed belt jammed,en
Program card failure,en
Stops after switching on,en
Turned no longer at full power,en
"runs, but no longer cuts",en
Construction dust?,en
wires have come loose,en
broken temperature sensor,en
"Yellow neon lamp, loose contact",en
Laptop is very slow and gets hot,en
improvised charging circuit,en
Wiring deviation,en
Power button not working properly,en
Unable to disassemble,en
approx,en
One LED module was defective,en
capacitor is ordered,en
Second spiral,en
blade of motor defective,en
No longer closes: ok with glue,en
Screen doesn't work anymore,en
Fitted shim on beard cutter,en
"Thermostat worn out, bypassed",en
sometimes refuses,en
Unit clogs very quickly,en
Blocked video cassette,en
"Coil burnt out, drain",en
Cleaned and oiled the fan,en
very dirty / clogged?,en
Start button no longer working,en
Pulled apart and cleaned it,en
Power station leaks,en
Oil gets into the engine,en
Battery holder had broken part,en
Light fixing needs rewiring,en
hose repaired,en
Soldering,en
fill,en
Hands are loose,en
cd keeps jumping,en
Replaced fan,en
fixing problem,en
Foot defective,en
contacts re-bent,en
Thread wrapped around motor,en
No more steam from the iron,en
Smell/smoke and it stopped,en
No time to investigate,en
Hoover no longer switches on,en
faulty graphics card,en
motor does not run,en
loose contact at cord input,en
part falls off,en
doesn't thaw when the ice forms,en
Contact bent back,en
Solution: explain how it works,en
"Switch, cable defective",en
loose wire in switch soldered,en
False contact on the power cable,en
makes no more + spark?,en
Stripped gears?,en
Lights stay on,en
customer takes it home again,en
MP3 defective,en
unclear,en
No longer in use,en
"fan not working, need cleaning",en
Heated towel rail,en
Spare hose fitted,en
Power button keeps not working,en
Faulty contacts,en
does not switch on,en
Fixed carbon brushes again,en
capacitor to be replaced,en
Makes a grinding noise,en
The compressor is broken,en
boot on a Windows USB key,en
Get errors when print,en
cleaned and regulation dusted,en
"no power, battery too weak",en
Drone,en
Switch cleaned and re-soldered,en
Charger connection,en
Static bike has a loose pedals,en
OK on machine and maintenance,en
Problem attaching blender,en
open motor winding,en
"Barometer, too specific",en
cleaned all filters,en
Yes - needs a new cord,en
Appeared to need a new battery,en
It could be glued back in place,en
Battery in Deep Sleep state,en
"nothing, no error",en
use extension prefrique,en
fuse change,en
Original charger to be used,en
"cleaned, new filter installed",en
under warranty?,en
"dismantled, motor is broken",en
def Thermal fuse replaced,en
usb cable fractured,en
Tried cleaning,en
wrong type of dust bags used,en
faulty connection/wall adaptor,en
Battery contacts were bent,en
Belt had slipped off,en
Can be fix at home,en
Main cable had been cut off,en
Possibly fixed,en
Circuit boards defective,en
"multiple lights needed, discard",en
tested: fine,en
No longer works at all,en
Blockage removed,en
cable connection damaged,en
Flashlight,en
Switch fell off,en
Station search defective,en
Made loud noises,en
Sound working but no image,en
Resoldered wires and re-glued,en
Operates alternately,en
Changing the mixer propeller,en
cleaned filters,en
Diagnosis: faulty battery,en
cord at reel repaired,en
Soundbar from large TV,en
Spring back in lace,en
Drawer hanging,en
Not switching to higher power,en
Repair number 82leaking,en
Cause: V-belt,en
Laptop - DVD drive - DIY ready,en
CD drawer does not open,en
No radio-controlled alarm clock,en
Cassette drive no longer working,en
Cable renewed,en
No issue with the JBL,en
carbon brushes cleared,en
"Display stuck, cannot be repaired",en
Sewing machine: not stitching,en
Replaced bulb fitting,en
Both components replaced,en
Low cap li-on cells,en
Loose contact on the jack plug,en
Power fault (some lights),en
Problem with hard drive,en
No longer lighting up,en
Hand Mixer - stiff switch,en
protect electrical wire with tape,en
Wear on the holder,en
We showed him today how to do it,en
Switched off after 30 seconds,en
Replaced 1 general fuse (8 A),en
loose contact,en
Filter cap falls out,en
knot removed from cord,en
Waiting for parts,en
problems since construction dust,en
gears damaged beyond repair,en
Loose contact in the cable,en
cord retractor does not work,en
Causes short circuit,en
No longer detects,en
CD ejector tray locked,en
new bypass switch fitted,en
Clock doesn't wotk,en
Boiler doesn't heat up,en
Off/on switch defective,en
Housing cannot be opened,en
broken leg,en
Bad fan,en
debris in beater bar bearing,en
"Water flows out, no steam",en
It no longer worked at all,en
"After reassembly, it worked again",en
Fußpedal defect,en
Fault not identified in the time,en
needs new element,en
Contacts cleaned from the outside,en
No more function when switched on,en
Brush does not rotate,en
Cord problems,en
No function - heater burnt out,en
"Software problems, slow running",en
Cleaned battery terminals,en
lead not working,en
Superglued cracks in casing,en
Santa Claus says nothing more,en
Remedy: Read head cleaned,en
cleaning required,en
Advice provided,en
No coffee runs into the cup,en
just works,en
it stopped blending,en
Does not grind,en
Nylon plastic head damaged,en
not replacedC024,en
Probably detector tube EABC80 bad,en
Oiled,en
Kettle switch won't stay down,en
taken away Sergej,en
the appliance no longer lights up,en
Found replacement part on eBay,en
Toater does not switch on,en
unfortunately not repairable,en
Lens problem solved,en
Rest of toaster still works,en
"Unblocked, all OK",en
Lamp replacement,en
Contact cleared,en
Charger cable replaced,en
Frequency search not possible,en
Clock - does not work,en
Leaking seal on cover,en
Dyson hoover: dead batteries,en
Battery must be changed,en
Battery contact problems,en
Several repairers consulted,en
reassembled in correct order,en
Motor seized - not fixed,en
quickly drained,en
retractor mechanism repaired,en
no longer works!,en
Unable to access for repair,en
